,PL,TEAMPLACE,LASTNAME,FIRSTNAME,YEAR,TEAM,Avg. Mile,TIME,SCORE,MEET,DATE,5k,600m,1k,2k,2.25k,2.5 Miles,4.25k,5.5k,7k,7.25k,Unnamed: 0,GAP,Avg. K,1K,2.4,4.45,8k,PACE,1 Mile,3300,3 Mile,6.5,Finish,3.3k,6.5k,1M,3k,4M,2.4K,4.5K,7K,3K,5.8K
105,106,18,Martinez, Mason,FR-1,Macalester,6:36.5,32:51.3,,St. Olaf Invitational,2018,,,,,,,,,,,,,,,,,,,32:51.3,13:15.6 (7:06.4),19:39.6 (6:24.0),32:51.3 (13:11.8),32:51.3,,,,,,,,,,
101,102,1,Lepak, Jake,JR-3,Macalester,5:31.4,27:27.6,20,Griak,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,107,2,Doherty, James,FR-1,Macalester,5:32.2,27:31.5,24,Griak,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,124,3,Boranian, Chris,SR-4,Macalester,5:34.5,27:43.1,27,Griak,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,137,4,Grant, Spencer,SR-4,Macalester,5:36.3,27:51.9,30,Griak,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,146,5,Kerr, Fred,FR-1,Macalester,5:37.5,27:57.9,31,Griak,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,147,6,Johnson, Adrian,SO-2,Macalester,5:37.6,27:58.5,32,Griak,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,149,7,Reyes Herrera, Edwin,JR-3,Macalester,5:38.1,28:01.0,33,Griak,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,151,8,Mayse, Smith,FR-1,Macalester,5:38.7,28:03.6,,Griak,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,195,9,Watanabe, Yuto,FR-1,Macalester,5:48.5,28:52.8,,Griak,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,231,10,O'Donnell-Hoff, Sam,JR-3,Macalester,5:57.1,29:35.2,,Griak,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,234,11,Levy, Elijah,JR-3,Macalester,5:58.0,29:39.7,,Griak,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,250,12,Bildsten, Ben,JR-3,Macalester,6:01.4,29:56.9,,Griak,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,257,13,Baumeister, Mark,SO-2,Macalester,6:03.3,30:06.1,,Griak,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,270,14,Richmond, Sam,SR-4,Macalester,6:07.7,30:28.2,,Griak,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,300,15,Lewis-Norelle, Sasha,SO-2,Macalester,6:19.6,31:27.0,,Griak,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,314,16,Hunsanger, Brett,FR-1,Macalester,6:26.5,32:01.4,,Griak,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,322,17,Martinez, Mason,FR-1,Macalester,6:36.7,32:52.2,,Griak,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,337,18,Hernandez, Armando,JR-3,Macalester,7:02.6,35:00.9,,Griak,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,1,Doherty, James,FR-1,Macalester,5:25.2,26:56.9,28,MIAC,2018,,,,,,,,,,,,,,,,,,,26:56.9,,15:58.7 (5:06.0),,26:56.9 (5:13.1),10:52.7 (5:44.3),21:43.9 (5:45.3),,,,,,,,
40,41,2,Lepak, Jake,JR-3,Macalester,5:30.5,27:23.1,38,MIAC,2018,,,,,,,,,,,,,,,,,,,27:23.1,,16:05.4 (5:20.2),,27:23.1 (5:18.7),10:45.3 (5:43.2),22:04.5 (5:59.1),,,,,,,,
42,43,3,Johnson, Adrian,SO-2,Macalester,5:30.8,27:24.7,40,MIAC,2018,,,,,,,,,,,,,,,,,,,27:24.7,,16:07.1 (5:12.9),,27:24.7 (5:26.1),10:54.3 (5:45.1),21:58.6 (5:51.5),,,,,,,,
50,51,4,Boranian, Chris,SR-4,Macalester,5:33.1,27:36.0,46,MIAC,2018,,,,,,,,,,,,,,,,,,,27:36.0,,16:15.4 (5:19.1),,27:36.0 (5:19.3),10:56.4 (5:47.5),22:16.8 (6:01.4),,,,,,,,
67,68,5,Kerr, Fred,FR-1,Macalester,5:37.1,27:55.7,54,MIAC,2018,,,,,,,,,,,,,,,,,,,27:55.7,,16:24.9 (5:17.7),,27:55.7 (5:31.7),11:07.3 (5:51.4),22:24.0 (5:59.2),,,,,,,,
74,75,6,Grant, Spencer,SR-4,Macalester,5:38.3,28:02.1,56,MIAC,2018,,,,,,,,,,,,,,,,,,,28:02.1,,16:25.6 (5:21.1),,28:02.1 (5:32.6),11:04.5 (5:53.5),22:29.5 (6:04.0),,,,,,,,
80,81,7,Mayse, Smith,FR-1,Macalester,5:39.4,28:07.2,59,MIAC,2018,,,,,,,,,,,,,,,,,,,28:07.2,,16:33.6 (5:23.4),,28:07.2 (5:31.7),11:10.2 (5:54.6),22:35.5 (6:01.9),,,,,,,,
97,98,8,Jarka-Sellers, Peter,JR-3,Macalester,5:46.0,28:39.9,,MIAC,2018,,,,,,,,,,,,,,,,,,,28:39.9,,16:53.3 (5:29.3),,28:39.9 (5:39.0),11:24.0 (6:05.3),23:01.0 (6:07.7),,,,,,,,
142,143,9,Milner, Michael,JR-3,Macalester,5:57.0,29:34.6,,MIAC,2018,,,,,,,,,,,,,,,,,,,29:34.6,,17:18.7 (5:43.2),,29:34.6 (5:44.7),11:35.6 (6:07.6),23:50.0 (6:31.4),,,,,,,,
143,144,10,Levy, Elijah,JR-3,Macalester,5:57.2,29:35.6,,MIAC,2018,,,,,,,,,,,,,,,,,,,29:35.6,,17:24.8 (5:43.8),,29:35.6 (5:45.9),11:41.0 (6:16.9),23:49.8 (6:25.1),,,,,,,,
147,148,11,Bildsten, Ben,JR-3,Macalester,5:58.9,29:44.3,,MIAC,2018,,,,,,,,,,,,,,,,,,,29:44.3,,17:41.2 (5:44.1),,29:44.3 (5:36.5),11:57.1 (6:22.9),24:07.9 (6:26.7),,,,,,,,
148,149,12,Reyes Herrera, Edwin,JR-3,Macalester,5:59.2,29:45.7,,MIAC,2018,,,,,,,,,,,,,,,,,,,29:45.7,,17:23.4 (5:59.0),,29:45.7 (5:50.4),11:24.4 (6:08.9),23:55.3 (6:32.0),,,,,,,,
150,151,13,Hunsanger, Brett,FR-1,Macalester,5:59.6,29:47.9,,MIAC,2018,,,,,,,,,,,,,,,,,,,29:47.9,,17:35.3 (5:41.5),,29:47.9 (5:43.4),11:53.8 (6:19.8),24:04.5 (6:29.3),,,,,,,,
158,159,14,O'Donnell-Hoff, Sam,JR-3,Macalester,6:02.8,30:03.6,,MIAC,2018,,,,,,,,,,,,,,,,,,,30:03.6,,17:47.8 (5:50.6),,30:03.6 (5:46.1),11:57.3 (6:22.4),24:17.5 (6:29.8),,,,,,,,
161,162,15,Richmond, Sam,SR-4,Macalester,6:04.5,30:12.2,,MIAC,2018,,,,,,,,,,,,,,,,,,,30:12.2,,17:43.9 (5:49.5),,30:12.2 (5:54.1),11:54.4 (6:20.3),24:18.2 (6:34.4),,,,,,,,
170,171,16,Lewis-Norelle, Sasha,SO-2,Macalester,6:08.0,30:29.5,,MIAC,2018,,,,,,,,,,,,,,,,,,,30:29.5,,18:03.8 (5:55.9),,30:29.5 (5:45.9),12:08.0 (6:34.2),24:43.7 (6:39.9),,,,,,,,
173,174,17,Hernandez, Armando,JR-3,Macalester,6:08.8,30:33.6,,MIAC,2018,,,,,,,,,,,,,,,,,,,30:33.6,,17:57.8 (5:45.5),,30:33.6 (6:02.8),12:12.4 (6:23.8),24:30.9 (6:33.1),,,,,,,,
184,185,18,Martinez, Mason,FR-1,Macalester,6:15.2,31:05.3,,MIAC,2018,,,,,,,,,,,,,,,,,,,31:05.3,,18:49.6 (6:07.6),,31:05.3 (5:43.2),12:42.1 (6:46.4),25:22.2 (6:32.6),,,,,,,,
187,188,19,Watanabe, Yuto,FR-1,Macalester,6:15.8,31:08.3,,MIAC,2018,,,,,,,,,,,,,,,,,,,31:08.3,,17:08.7 (5:37.0),,31:08.3 (5:46.1),11:31.8 (6:15.9),25:22.3 (8:13.6),,,,,,,,
63,64,1,Doherty, James,FR-1,Macalester,5:18.7,26:24.4,64,Central Region,2018,,,,,,,,,,,,,,,,,,,,,,,,,,"""",,,,,,,
83,84,2,Lepak, Jake,JR-3,Macalester,5:22.3,26:42.3,84,Central Region,2018,,,,,,,,,,,,,,,,,,,,,,,,,,"""",,,,,,,
100,101,3,Kerr, Fred,FR-1,Macalester,5:26.4,27:02.7,101,Central Region,2018,,,,,,,,,,,,,,,,,,,,,,,,,,"""",,,,,,,
111,112,4,Boranian, Chris,SR-4,Macalester,5:28.4,27:12.5,112,Central Region,2018,,,,,,,,,,,,,,,,,,,,,,,,,,"""",,,,,,,
123,124,5,Johnson, Adrian,SO-2,Macalester,5:30.3,27:22.0,124,Central Region,2018,,,,,,,,,,,,,,,,,,,,,,,,,,"""",,,,,,,
144,145,6,Mayse, Smith,FR-1,Macalester,5:37.1,27:56.0,145,Central Region,2018,,,,,,,,,,,,,,,,,,,,,,,,,,"""",,,,,,,
170,171,7,Grant, Spencer,SR-4,Macalester,5:50.2,29:01.1,171,Central Region,2018,,,,,,,,,,,,,,,,,,,,,,,,,,"""",,,,,,,
0,2,1,Doherty,James,SR-4,,,0.019141204,2.0,Oshkosh,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,2,Johnson,Adrian,SO-2,,,0.019582176,5.0,Oshkosh,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,3,Grant,Spencer,SR-4,,,0.019678241000000003,7.0,Oshkosh,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8,4,Boranian,Chris,SR-4,,,0.019733796,8.0,Oshkosh,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,5,Kerr,Fred,FR-1,,,0.01974537,10.0,Oshkosh,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,16,6,Mayse,Smith,FR-1,,,0.02002662,15.0,Oshkosh,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,18,7,Jarka-Sellers,Peter,JR-3,,,0.020361111,17.0,Oshkosh,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,21,8,Lepak,Jake,JR-3,,,0.020506944,,Oshkosh,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,23,9,Levy,Elijah,SO-2,,,0.02058912,,Oshkosh,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,26,10,Milner,Michael,JR-3,,,0.020760417,,Oshkosh,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,30,11,Reyes Herrera,Edwin,JR-1,,,0.020907407,,Oshkosh,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,31,12,Hunsanger,Brett,FR-1,,,0.020909722,,Oshkosh,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,34,13,O'Donnell-Hoff,Sam,JR-3,,,0.02125463,,Oshkosh,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,36,14,Bildsten,Ben,JR-3,,,0.021394676,,Oshkosh,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,37,15,Watanabe,Yuto,FR-1,,,0.021413194,,Oshkosh,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,38,16,Baumeister,Mark,SO-2,,,0.021461806,,Oshkosh,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,44,17,Richmond,Sam,SR-4,,,0.022046296,,Oshkosh,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,49,18,Hernandez,Armando,JR-3,,,0.022353009,,Oshkosh,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,50,19,Lewis-Norelle,Sasha,SO-2,,,0.022456019,,Oshkosh,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,53,20,Martinez,Mason,SR-4,,,0.022635417,,Oshkosh,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,1,Lepak, Jake,SR-4,Macalester,5:20.6,21:22.1,8,Twin Cities Invitational,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,2,Johnson, Adrian,JR-3,Macalester,5:25.4,21:41.4,13,Twin Cities Invitational,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,3,Hayes, August,FR-1,Macalester,5:30.4,22:01.4,16,Twin Cities Invitational,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,4,Reyes Herrera, Edwin,SR-4,Macalester,5:31.5,22:05.9,17,Twin Cities Invitational,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,5,Mayse, Smith,SO-2,Macalester,5:31.7,22:06.7,19,Twin Cities Invitational,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33,6,Kerr, Fred,SO-2,Macalester,5:41.2,22:44.7,32,Twin Cities Invitational,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,7,O'Donnell-Hoff, Sam,SR-4,Macalester,5:42.5,22:49.9,34,Twin Cities Invitational,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,45,8,Milner, Michael,SR-4,Macalester,5:48.2,23:12.5,,Twin Cities Invitational,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,51,9,Peske, Cole,FR-1,Macalester,5:52.4,23:29.6,,Twin Cities Invitational,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,52,10,Hunsanger, Brett,SO-2,Macalester,5:52.7,23:30.6,,Twin Cities Invitational,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,55,11,Bildsten, Ben,SR-4,Macalester,5:54.1,23:36.3,,Twin Cities Invitational,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,56,12,Jarka-Sellers, Peter,SR-4,Macalester,5:54.3,23:37.0,,Twin Cities Invitational,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,62,13,Rachlin, Peter,FR-1,Macalester,5:59.1,23:56.2,,Twin Cities Invitational,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,63,14,Morefield, Colin,FR-1,Macalester,6:01.2,24:04.8,,Twin Cities Invitational,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,64,15,Baumeister, Mark,JR-3,Macalester,6:02.6,24:10.2,,Twin Cities Invitational,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,68,16,Hernandez, Armando,SR-4,Macalester,6:05.4,24:21.3,,Twin Cities Invitational,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,89,17,Baldus, JoJo,SR-4,Macalester,6:29.2,25:56.7,,Twin Cities Invitational,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1,Lepak, Jake,SR-4,Macalester,5:26,21:40,2,Summit Cup,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,2,Johnson, Adrian,JR-3,Macalester,5:29,21:52,3,Summit Cup,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,3,Mayse, Smith,SO-2,Macalester,5:32,22:04,5,Summit Cup,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,4,Hayes, August,FR-1,Macalester,5:35,22:15,7,Summit Cup,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,5,O'Donnell-Hoff, Sam,SR-4,Macalester,5:40,22:33,12,Summit Cup,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,6,Reyes Herrera, Edwin,SR-4,Macalester,5:45,22:53,13,Summit Cup,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,7,Hunsanger, Brett,SO-2,Macalester,5:49,23:11,14,Summit Cup,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,8,Peske, Cole,FR-1,Macalester,5:50,23:15,,Summit Cup,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,9,Milner, Michael,SR-4,Macalester,5:53,23:25,,Summit Cup,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,10,Baumeister, Mark,JR-3,Macalester,5:54,23:32,,Summit Cup,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,11,Bildsten, Ben,SR-4,Macalester,5:57,23:43,,Summit Cup,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31,12,Jarka-Sellers, Peter,SR-4,Macalester,6:01,23:58,,Summit Cup,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33,13,Hernandez, Armando,SR-4,Macalester,6:06,24:18,,Summit Cup,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,14,Morefield, Colin,FR-1,Macalester,6:12,24:42,,Summit Cup,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36,15,Baldus, JoJo,SR-4,Macalester,6:33,26:04,,Summit Cup,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,1,Lepak, Jake,SR-4,Macalester,5:24.7,26:54.3,24,Running of the Cows (Carleton),2019,,,,,,,,,,,,,,3:17.0,,,,,,,,,,,,,,,7:58.0 (4:41.0),23:29.4 (15:31.5),26:54.4 (3:25.0),,
48,49,2,Mayse, Smith,SO-2,Macalester,5:32.4,27:32.5,43,Running of the Cows (Carleton),2019,,,,,,,,,,,,,,3:19.6,,,,,,,,,,,,,,,8:04.5 (4:44.9),15:10.8 (7:06.4),24:09.3 (8:58.6),,
55,56,3,Johnson, Adrian,JR-3,Macalester,5:34.6,27:43.2,48,Running of the Cows (Carleton),2019,,,,,,,,,,,,,,3:20.0,,,,,,,,,,,,,,,8:04.8 (4:44.8),15:13.0 (7:08.2),24:14.7 (9:01.8),,
78,79,4,Reyes Herrera, Edwin,SR-4,Macalester,5:40.7,28:13.7,66,Running of the Cows (Carleton),2019,,,,,,,,,,,,,,3:32.9,,,,,,,,,,,,,,,8:32.3 (4:59.5),15:55.5 (7:23.2),24:53.6 (8:58.1),,
100,101,5,O'Donnell-Hoff, Sam,SR-4,Macalester,5:45.3,28:36.6,76,Running of the Cows (Carleton),2019,,,,,,,,,,,,,,3:33.5,,,,,,,,,,,,,,,8:33.5 (5:00.1),16:01.0 (7:27.5),25:10.9 (9:09.9),,
112,113,6,Peske, Cole,FR-1,Macalester,5:48.4,28:52.2,83,Running of the Cows (Carleton),2019,,,,,,,,,,,,,,3:33.7,,,,,,,,,,,,,,,8:33.5 (4:59.8),16:02.6 (7:29.2),25:28.7 (9:26.1),,
120,121,7,Kerr, Fred,SO-2,Macalester,5:50.9,29:04.5,87,Running of the Cows (Carleton),2019,,,,,,,,,,,,,,3:37.3,,,,,,,,,,,,,,,8:43.2 (5:06.0),16:10.8 (7:27.7),25:29.2 (9:18.4),,
133,134,8,Jarka-Sellers, Peter,SR-4,Macalester,5:53.9,29:19.2,,Running of the Cows (Carleton),2019,,,,,,,,,,,,,,3:28.7,,,,,,,,,,,,,,,8:26.8 (4:58.2),15:58.2 (7:31.4),25:38.3 (9:40.2),,
147,148,9,Bildsten, Ben,SR-4,Macalester,5:57.9,29:39.3,,Running of the Cows (Carleton),2019,,,,,,,,,,,,,,3:34.8,,,,,,,,,,,,,,,8:38.6 (5:03.9),16:21.1 (7:42.6),26:04.1 (9:43.1),,
153,154,10,Baumeister, Mark,JR-3,Macalester,6:00.3,29:51.2,,Running of the Cows (Carleton),2019,,,,,,,,,,,,,,3:39.1,,,,,,,,,,,,,,,8:48.8 (5:09.7),16:39.0 (7:50.3),26:24.4 (9:45.5),,
162,163,11,Hayes, August,FR-1,Macalester,6:02.0,29:59.7,,Running of the Cows (Carleton),2019,,,,,,,,,,,,,,3:32.9,,,,,,,,,,,,,,,8:41.0 (5:08.2),16:33.8 (7:52.8),26:37.0 (10:03.3),,
167,168,12,Hernandez, Armando,SR-4,Macalester,6:05.9,30:19.1,,Running of the Cows (Carleton),2019,,,,,,,,,,,,,,3:47.5,,,,,,,,,,,,,,,9:05.2 (5:17.7),16:55.6 (7:50.5),26:37.8 (9:42.2),,
175,176,13,Hunsanger, Brett,SO-2,Macalester,6:09.3,30:36.0,,Running of the Cows (Carleton),2019,,,,,,,,,,,,,,3:33.2,,,,,,,,,,,,,,,8:35.3 (5:02.2),16:37.3 (8:02.0),26:51.7 (10:14.5),,
181,182,14,Morefield, Colin,FR-1,Macalester,6:12.5,30:51.8,,Running of the Cows (Carleton),2019,,,,,,,,,,,,,,3:42.0,,,,,,,,,,,,,,,8:58.0 (5:16.0),16:57.4 (7:59.4),27:03.0 (10:05.7),,
222,,15,Milner, Michael,SR-4,Macalester,,DNF,,Running of the Cows (Carleton),2019,,,,,,,,,,,,,,3:45.5,,,,,,,,,,,,,,,9:10.7 (5:25.2),17:31.1 (8:20.4),,,
42,43,1,Johnson, Adrian,JR-3,Macalester,5:13.8,26:00.0,41,Blugold Invitational,2019,16:07.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,82,2,Mayse, Smith,SO-2,Macalester,5:21.1,26:36.1,76,Blugold Invitational,2019,16:27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,107,3,Lepak, Jake,SR-4,Macalester,5:23.4,26:47.7,87,Blugold Invitational,2019,16:22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,154,4,Reyes Herrera, Edwin,SR-4,Macalester,5:28.9,27:15.2,114,Blugold Invitational,2019,17:10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,180,5,O'Donnell-Hoff, Sam,SR-4,Macalester,5:31.8,27:29.3,125,Blugold Invitational,2019,17:13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,235,6,Peske, Cole,FR-1,Macalester,5:37.5,27:58.0,148,Blugold Invitational,2019,17:24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,249,7,Kerr, Fred,SO-2,Macalester,5:39.4,28:07.1,150,Blugold Invitational,2019,17:12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,260,8,Jarka-Sellers, Peter,SR-4,Macalester,5:40.4,28:12.4,,Blugold Invitational,2019,17:32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,274,9,Hayes, August,FR-1,Macalester,5:42.2,28:21.0,,Blugold Invitational,2019,17:10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,282,10,Bildsten, Ben,SR-4,Macalester,5:43.4,28:27.4,,Blugold Invitational,2019,17:48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,288,11,Milner, Michael,SR-4,Macalester,5:44.6,28:33.0,,Blugold Invitational,2019,17:55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,294,12,Baumeister, Mark,JR-3,Macalester,5:45.4,28:37.2,,Blugold Invitational,2019,18:07.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,333,13,Hernandez, Armando,SR-4,Macalester,5:52.1,29:10.3,,Blugold Invitational,2019,18:31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,335,14,Lewis-Norelle, Sasha,JR-3,Macalester,5:52.2,29:11.1,,Blugold Invitational,2019,18:09.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,353,15,Rachlin, Peter,FR-1,Macalester,5:55.7,29:28.1,,Blugold Invitational,2019,18:04.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,377,16,Levy, Elijah,JR-3,Macalester,6:01.6,29:57.7,,Blugold Invitational,2019,18:15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,57,1,Lepak, Jake,SR-4,Macalester,5:17.0,26:16.0,48,Jim Drews Invitational (Lacrosse),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:36.1,18:47.3 (9:11.2)
79,80,2,Mayse, Smith,SO-2,Macalester,5:20.4,26:33.0,64,Jim Drews Invitational (Lacrosse),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:46.1,19:00.3 (9:14.3)
122,123,3,Johnson, Adrian,JR-3,Macalester,5:27.9,27:10.0,86,Jim Drews Invitational (Lacrosse),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:59.9,19:25.4 (9:25.6)
171,172,4,Reyes Herrera, Edwin,SR-4,Macalester,5:34.0,27:40.7,116,Jim Drews Invitational (Lacrosse),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:22.8,19:55.8 (9:33.0)
177,178,5,O'Donnell-Hoff, Sam,SR-4,Macalester,5:34.8,27:44.7,119,Jim Drews Invitational (Lacrosse),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:23.1,20:00.0 (9:36.9)
198,199,6,Kerr, Fred,SO-2,Macalester,5:38.6,28:03.1,126,Jim Drews Invitational (Lacrosse),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:33.6,20:12.9 (9:39.4)
215,216,7,Jarka-Sellers, Peter,SR-4,Macalester,5:40.4,28:12.2,129,Jim Drews Invitational (Lacrosse),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:26.9,20:11.1 (9:44.2)
233,234,8,Milner, Michael,SR-4,Macalester,5:43.5,28:27.7,,Jim Drews Invitational (Lacrosse),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:37.5,20:30.5 (9:53.0)
234,235,9,Peske, Cole,FR-1,Macalester,5:43.6,28:28.0,,Jim Drews Invitational (Lacrosse),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:27.8,20:18.6 (9:50.9)
263,264,10,Baumeister, Mark,JR-3,Macalester,5:48.8,28:53.9,,Jim Drews Invitational (Lacrosse),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:53.5,20:55.8 (10:02.4)
292,293,11,Bildsten, Ben,SR-4,Macalester,5:53.7,29:18.2,,Jim Drews Invitational (Lacrosse),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:53.1,21:02.1 (10:09.1)
294,295,12,Hernandez, Armando,SR-4,Macalester,5:53.7,29:18.4,,Jim Drews Invitational (Lacrosse),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:10.1,21:18.5 (10:08.5)
322,323,13,Rachlin, Peter,FR-1,Macalester,5:59.6,29:47.5,,Jim Drews Invitational (Lacrosse),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:53.7,21:13.7 (10:20.1)
331,332,14,Levy, Elijah,JR-3,Macalester,6:01.5,29:56.9,,Jim Drews Invitational (Lacrosse),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:49.4,21:15.9 (10:26.5)
